+Crataegomespilus dardarii
Acantholimon puberulum
Acantholimon saxifragiforme
Acantholimon spp.
Acantholimon tenuiflorum
Acantholimon trojanum
Acantholimon ulicinum
Acantholimon venustum
Acanthomintha duttonii
Acanthomintha ilicifolia
Acanthomintha lanceolata
Acanthomintha obovata
Acanthopanax senticosus
Acanthopanax sieboldianus
Acanthophoenix rousselii
Acanthophoenix rubra
Acanthophoenix spp.
Acanthophyllum cerastioides
Acanthophyllum pungens
Acanthophyllum spp.
Acanthoscyphus parishii
Acanthosicyos horridus
Acanthosicyos spp.
Acanthospermum australe
Acanthospermum glabratum
Acanthospermum hispidum
Acanthospermum humile
Acanthospermum microcarpum
Acanthospermum spp.
Acanthospermum xanthioides
Acanthostachys spp.
Acanthostyles buniifolius
Acanthosyris spinescens
Acanthosyris spp.
Acanthoxanthium spinosum
Acanthus arboreus
Acanthus dioscoridis
Acanthus ebracteatus
Acanthus eminens
Acanthus hybr.
Acanthus ilicifolius
Acanthus longifolius
Acanthus mollis
Acanthus montanus
Acanthus polystachyus
Acanthus pubescens
Acanthus spinosus
Acanthus spp.
Acanthus syriacus
Acarospora aeruginosa
Acarospora albida
Acarospora albomarginata
Acarospora amabilis
Acarospora americana
Acarospora amphibola
Acarospora applanata
Acarospora arenacea
Acarospora arenosa
Acarospora asahinae
Acarospora asperata
Acarospora badiofusca
Acarospora bella
Acarospora boulderensis
Acarospora bullata
Acarospora caesiofusca
Acarospora californica
Acarospora canadensis
Acarospora carnegiei
Acarospora cartilaginea
Acarospora cervina
Acarospora chlorophana
Acarospora chrysops
Acarospora cinereoalba
Acarospora citrina
Acarospora clauzadeana
Acarospora coloradiana
Acarospora complanata
Acarospora contigua
Acarospora desolata
Acarospora dispersa
Acarospora dissipata
Acarospora elevata
Acarospora epilutescens
Acarospora erythrophora
Acarospora evoluta
Acarospora flava
Acarospora fuscata
Acarospora fuscescens
Acarospora gallica
Acarospora geogena
Acarospora geophila
Acarospora glaucocarpa
Acarospora glebosa
Acarospora hassei
Acarospora heppii
Acarospora heufleriana
Acarospora hilaris
Acarospora immersa
Acarospora impressula
Acarospora incertula
Acarospora instrata
Acarospora intercedens
Acarospora interjecta
Acarospora interposita
Acarospora interspersa
Acarospora lapponica
Acarospora macrospora
Acarospora molybdina
Acarospora montana
Acarospora nevadensis
Acarospora nigromarginata
Acarospora nitida
Acarospora nodulosa
Acarospora novomexicana
Acarospora obnubila
Acarospora obpallens
Acarospora obscura
Acarospora ocellata
Acarospora oligospora
Acarospora oxytona
Acarospora particularis
Acarospora peliscypha
Acarospora peltastica
Acarospora pyrenopsoides
Acarospora radicata
Acarospora reagens
Acarospora rhabarbarina
Acarospora rimulosa
Acarospora rubicunda
Acarospora rufescens
Acarospora rugulosa
Acarospora saepincola
Acarospora saxicola
Acarospora scabra
Acarospora scabrida
Acarospora schleicheri
Acarospora scotica
Acarospora sinopica
Acarospora smaragdula
Acarospora socialis
Acarospora sparsa
Acarospora squamulosa
Acarospora squamulosa
Acarospora stapfiana
Acarospora stenospora
Acarospora strigata
Acarospora subalbida
Acarospora subcontigua
Acarospora subfuscescens
Acarospora succedens
Acarospora superfusa
Acarospora tenebrica
Acarospora terricola
Acarospora texana
Acarospora thamnina
Acarospora thelococcoides
Acarospora thermophila
Acarospora tongleti
Acarospora tucsonensis
Acarospora utahensis
Acarospora variegata
Acarospora veronensis
Acarospora washingtonensis
Acarospora weldensis
Acarospora xanthophana
Acaulon megalosporum
Acaulon muticum
Acaulon rubrum
Acaulon rufescens
Acaulon runyoni
Acaulon schimperianum
Acaulon triquetrum
Acca macrostema
Acca sellowiana
