+Crataegomespilus dardarii
Thamnocalamus spp.
Thelocarpon superellum
Thelypteris deltoidea
Theobroma bernoullii
Thinopyrum curvifolium
Thuidium lignicola
Thymus serpyllum
Tilia caroliniana
Tillandsia pruinosa
Tithymalus crenulatus
Toninia verrucarioides
Tortula pagorum
Toxicoscordion fremontii
Tradescantia spp.
Trematolobelia wimmeri
Trichocolea tomentella
Trichosanthes laeoica
Tridens eragrostoides
Trifolium dalmaticum
Trifolium multicaule
Trifolium steudneri
Trigonella strangulata
Triodia marginata
Tripterocalyx wootonii
Triticum dicoccoides
Trommsdorffia argentea
Tulasneantha monadelpha
Turritis drummondii
Ulmus procera
Ungnadia speciosa
Urochloa mollis
Usnea amabilis
Utricularia alpina
Vaccinium arkansanum
Vaccinium praestans
Vachellia tomentosa
Vanclevea stylosa
Vasconcellea palandensis
Verbascum antiochium
Verbena inconspicua
Verbena ×perriana
Vernonia recurva
Veronica cupressoides
Veronica macropoda
Veronica serpyllifolia
Verrucaria ditmarsica
Vexibia stenophylla
Viburnum semitomentosum
Vicia hyrcanica
Vieraea laevigata
Viguiera australis
Viola asterias
Viola cyathiformis
Viola howellii
Viola montanensis
Viola reichenbachiana
Viola tridentata
Viola ×populifolia
Vitex orinocensis
Vitis spp.
Vrydagzynea spp.
Warreopsis spp.
Weissia hedwigii
Willughbeia sarawhaensis
Wurmbea stricta
Xanthoparmelia montanensis
Xanthosoma latestigmatum
Xerospermum spp.
Xyris arenicola
Yucca mixtecana
Zamia montana
Zanthoxylum zanthoxyloides
Zephyranthes brazosensis
Zinnia peruviana
Zostera tasmanica
