Penstemon deustus
Penstemon digitalis
Penstemon eatonii
Penstemon fruticosus
Penstemon gairdneri
Penstemon glaber
Penstemon hartwegii
Penstemon heterophyllus
Penstemon laetus
Penstemon lyallii
Penstemon newberryi
Penstemon palmeri
Penstemon rydbergii
Penstemon speciosus
Penstemon strictus
Penstemon tenuiflorus
Penstemon venustus
Penstemon whippleanus
Penstemon wilcoxii
Penthorum sedoides
Perideridia gairdneri
Perideridia parishii
Perityle coronopifolia
Perityle rupestris
Persea borbonia
Persea palustris
Petasites frigidus
Petitia domingensis
Phacelia dubia
Phacelia hastata
Phacelia tanacetifolia
Phaeophyscia cernohorskyi
Phalaris aquatica
Phalaris arundinacea
Phalaris truncata
Phaseolus maculatus
Phaulothamnus spinescens
Phegopteris connectilis
Philadelphus coronarius
Philadelphus hitchcockianus
Philadelphus lewisii
Philadelphus microphyllus
Phleum alpinum
Phleum pratense
Phlox diffusa
Phlox divaricata
Phlox glaberrima
Phlox longifolia
Phlox nivalis
Phlox pungens
Phlox subulata
Phlyctis agelaea
Pholisma arenarium
Phoradendron leucarpum
Photinia ×fraseri
Phragmites australis
Phyla nodiflora
Phyllodoce breweri
Phyllostachys aurea
Physaria rollinsii
Physocarpus capitatus
Physocarpus malvaceus
Physocarpus opulifolius
Phytolacca americana
Piccolia conspersa
Picea abies
Picea breweriana
Picea engelmannii
Picea glauca
Picea mariana
Picea pungens
Picea rubens
Picea sitchensis
Picradeniopsis oppositifolia
Picrothamnus desertorum
Pictetia aculeata
Pieris japonica
Pilostyles thurberi
Pinus albicaulis
Pinus aristata
Pinus banksiana
Pinus canariensis
Pinus cembroides
Pinus clausa
Pinus contorta
Pinus coulteri
Pinus echinata
Pinus edulis
Pinus elliottii
Pinus flexilis
Pinus glabra
Pinus jeffreyi
Pinus lambertiana
Pinus monophylla
Pinus monticola
Pinus mugo
Pinus muricata
Pinus nigra
Pinus palustris
Pinus ponderosa
Pinus pungens
Pinus radiata
Pinus resinosa
Pinus rigida
Pinus sabiniana
Pinus serotina
Pinus strobus
Pinus sylvestris
Pinus taeda
Pinus thunbergii
Pinus virginiana
Piper methysticum
Piperia cooperi
Piptatheropsis micrantha
Pipturus albidus
Piriqueta cistoides
Pisonia albida
Pittosporum tobira
Pittosporum viridiflorum
Pityopsis graminifolia
Plagiothecium piliferum
Planchonella sandwicensis
Planera aquatica
Plantago arenaria
Plantago bigelovii
Plantago major
Plantago patagonica
Platanthera obtusata
Platanus occidentalis
Platanus racemosa
Platanus wrightii
Platanus ×hispanica
Platycladus orientalis
Pleopsidium chlorophanum
Pleuraphis jamesii
Pleuraphis mutica
Pleuraphis rigida
Pleurozia purpurea
Pleuroziopsis ruthenica
Pluchea odorata
Poa alpina
Poa annua
Poa arctica
Poa autumnalis
Poa bulbosa
Poa compressa
Poa eminens
Poa fendleriana
Poa glauca
Poa leibergii
Poa leptocoma
Poa macrantha
Poa nervosa
Poa palustris
Poa pratensis
Poa secunda
Poa sylvestris
Poa trivialis
Podocarpus macrophyllus
Podostemum ceratophyllum
Polemonium acutiflorum
Polemonium chartaceum
Polemonium occidentale
Polycarpon depressum
Polygala cowellii
Polygonum amphibium
Polygonum aviculare
Polygonum bistorta
Polygonum bistortoides
Polygonum davisiae
Polygonum hydropiper
Polygonum hydropiperoides
Polygonum pensylvanicum
Polygonum persicaria
Polygonum polygaloides
Polygonum punctatum
