+Crataegomespilus dardarii
Actinidia melliana
Actinidia obovata
Actinidia persicina
Actinidia petelotii
Actinidia pilosula
Actinidia rubricaulis
Actinidia rubus
Actinidia rudis
Actinidia rufa
Actinidia rufotricha
Actinidia sabiifolia
Actinidia setosa
Actinidia sorbifolia
Actinidia spp.
Actinidia stellatopilosa
Actinidia strigosa
Actinidia styracifolia
Actinidia suberifolia
Actinidia tetramera
Actinidia trichogyna
Actinidia ulmifolia
Actinidia umbelloides
Actinidia valvata
Actinidia venosa
Actinidia vitifolia
Actinidia x fairchildii
Actinidia x zhejiangensis
Actiniopteris australis
Actiniopteris radiata
Actiniopteris spp.
Actinocephalus polyanthus
Actinocladum spp.
Actinodaphne acuminata
Actinodaphne angustifolia
Actinodaphne cupularis
Actinodaphne henryi
Actinodaphne lecomtei
Actinodaphne macrophylla
Actinodaphne obovata
Actinodaphne omeiensis
Actinodaphne reticulata
Actinodaphne sesquipedalis
Actinodaphne spp.
Actinogyra muehlenbergii
Actinogyra polyrrhiza
Actinokentia spp.
Actinolema macrolema
Actinomeris alternifolia
Actinomeris helianthoides
Actinomeris heterophylla
Actinomeris longifolia
Actinomeris nudicaulis
Actinomeris pauciflora
Actinorhytis calapparia
Actinorhytis spp.
Actinoscirpus grossus
Actinospermum angustifolium
Actinostachys digitata
Actinostachys germanii
Actinostachys inopinata
Actinostachys spirophylla
Actinostemma tenerum
Actinostemon concolor
Actinostrobus acuminatus
Actinostrobus arenarius
Actinostrobus pyramidalis
Actinostrobus spp.
Actinotus helianthi
Actinotus leucocephalus
Actinotus spp.
Acuan depressum
Acuan illinoense
Acuan leptolobum
Acuan virgatum
Adamantinia spp.
Adansonia grandidieri
Adansonia gregorii
Adansonia madagascariensis
Adansonia perrieri
Adansonia rubrostipa
Adansonia spp.
Adansonia suarezensis
Adansonia za
Adelia spp.
Adelia triloba
Adelinia grandis
Adelobotrys spp.
Adelocaryum coelestinum
Adelocaryum spp.
Adelococcus alpestris
Adelolecia kolaensis
Adelonema spp.
Adelonema wallisii
Adenandra fragrans
Adenandra villosa
Adenanthe bicarpellata
Adenanthera aglaosperma
Adenanthera intermedia
Adenanthera microsperma
Adenanthera spp.
Adenanthos cuneatus
Adenanthos meisneri
Adenanthos sericeus
Adenanthos spp.
Adenaria floribunda
Adenaria spp.
Adenia aculeata
Adenia digitata
Adenia ellenbeckii
Adenia epigea
Adenia firingalavensis
Adenia fruticosa
Adenia glauca
Adenia globosa
Adenia goetzei
Adenia heterophylla
Adenia hondala
Adenia huillensis
Adenia isaloensis
Adenia keramanthus
Adenia kirkii
Adenia lindiensis
Adenia lobata
Adenia macrophylla
Adenia metamorpha
Adenia olaboensis
Adenia rumicifolia
Adenia sphaerocarpa
Adenia spinosa
Adenia spp.
Adenia stylosa
Adenia subsessilifolia
Adenia venenata
Adenia viridiflora
Adenia volkensii
Adenia wightiana
Adenium arabicum
Adenium boehmianum
Adenium hybr.
Adenium multiflorum
Adenium oleifolium
Adenium spp.
Adenium swazicum
Adenocalymma cladotrichum
Adenocalymma comosum
Adenocalymma nodosum
Adenocarpus anagyrifolius
Adenocarpus bacquei
Adenocarpus complicatus
Adenocarpus decorticans
Adenocarpus hispanicus
Adenocarpus mannii
Adenocarpus spp.
Adenocarpus viscosus
Adenocaulon chilense
Adenocaulon himalaicum
Adenocaulon spp.
Adenochilus spp.
Adenochloa hymeniochila
Adenocline spp.
Adenodolichos paniculatus
Adenodolichos punctatus
Adenogramma glomerata
Adenogramma spp.
Adenolinum grandiflorum
Adenolinum lewisii
Adenolinum pratense
Adenolobus pechuelii
Adenolobus spp.
Adenoncos spp.
Adenophaedra grandifolia
Adenophora coelestis
Adenophora divaricata
