Abelia ×grandiflora
Climacium americanum
Clintonia borealis
Coccocarpia erythroxyli
Coccoloba diversifolia
Coccoloba pubescens
Coccoloba swartzii
Coccoloba uvifera
Coccotrema pocillarium
Cocculus carolinus
Cocos nucifera
Coelorachis cylindrica
Coelorachis rugosa
Coffea arabica
Cojoba arborea
Coleogyne ramosissima
Collema auriforme
Collema ceraniscum
Collinsia parviflora
Cololejeunea setiloba
Colubrina elliptica
Columnea ambigua
Colutea arborescens
Commelina diffusa
Commelina virginica
Comptonia peregrina
Conocephalum conicum
Conoclinium coelestinum
Conopholis alpina
Convallaria majalis
Convallaria majuscula
Conyza canadensis
Cooperia jonesii
Coprosma ernodeoides
Corallorhiza striata
Cordia alliodora
Cordia boissieri
Cordia laevigata
Cordia subcordata
Cordylanthus maritimus
Cordylanthus ramosus
Cordyline fruticosa
Coreopsis lanceolata
Coreopsis stillmanii
Coreopsis tinctoria
Cornus alternifolia
Cornus amomum
Cornus canadensis
Cornus drummondii
Cornus florida
Cornus foemina
Cornus mas
Cornus nuttallii
Cornus racemosa
Cornus rugosa
Cornus sericea
Corsinia coriandrina
Cortaderia selloana
Corydalis aurea
Corydalis caseana
Corydalis flavula
Corylus americana
Corylus cornuta
Corynocarpus laevigatus
Costus guanaiensis
Cotoneaster acutifolius
Cotoneaster apiculatus
Cotoneaster horizontalis
Cotoneaster integerrimus
Cotoneaster salicifolius
Crassula aquatica
Crataegus aestivalis
Crataegus crus-galli
Crataegus dodgei
Crataegus douglasii
Crataegus erythropoda
Crataegus marshallii
Crataegus monogyna
Crataegus phaenopyrum
Crataegus viridis
Crataegus ×anomala
Crepis acuminata
Crepis modocensis
Crepis occidentalis
Crepis runcinata
Crescentia cujete
Crescentia linearifolia
Crescentia portoricensis
Cressa truxillensis
Crocus tommasinianus
Croomia pauciflora
Crossosoma bigelovii
Crotalaria juncea
Crotalaria purshii
Crotalaria spectabilis
Cryphaea filiformis
Cryptantha utahensis
Cryptantha wetherillii
Cryptomeria japonica
Cryptothele granuliformis
Cucurbita foetidissima
Cupania americana
Cuscuta approximata
Cuscuta compacta
Cyanea magnicalyx
Cyathea arborea
Cyathea borinquena
Cyathea pungens
Cycas micronesica
Cydonia oblonga
Cymodocea filiformis
Cynodon dactylon
Cynoglossum virginianum
Cyperus acuminatus
Cyperus bipartitus
Cyperus compressus
Cyperus cuspidatus
Cyperus dioicus
Cyperus eragrostis
Cyperus erythrorhizos
Cyperus esculentus
Cyperus flavescens
Cyperus haspan
Cyperus lancastriensis
Cyperus odoratus
Cyperus polystachyos
Cyperus pseudovegetus
Cyperus strigosus
Cyperus trinervis
Cyrilla parvifolia
Cyrilla racemiflora
Cyrtomnium hymenophylloides
Cystobasidium hypogymniicola
Cytisus scoparius
Dacampia hookeri
Dacryodes excelsa
Dactylis glomerata
Dactylospora athallina
Dalea candida
Dalea formosa
Dalea gattingeri
Dalea phleoides
Dalea purpurea
Daltonia splachnoides
Damasonium californicum
Danthonia californica
Danthonia compressa
Danthonia decumbens
Danthonia intermedia
Danthonia unispicata
Daphnopsis americana
Darlingtonia californica
Dasiphora fruticosa
Dasylirion wheeleri
Davallia denticulata
Decodon verticillatus
Delonix regia
Delphinium andersonii
Delphinium glaucum
Dendriscocaulon intricatulum
Dendrographa leucophaea
Dendropanax laurifolius
Dendropemon bicolor
Dendropemon caribaeus
Dennstaedtia bipinnata
Dermiscellum catawbense
Deschampsia beringensis
