name	lsid	uses	sources	family	page
& Alderw.	84486-1	HF ME	[4, 7]		16
Anaphyllum wightii Schott	84492-1	ME	[4]		16
Anchomanes difformis (Blume) Engl.	84497-1	EU HF MA ME SU	[4, 8, 11]		16
Anchomanes giganteus Engl.	84499-1	EU ME	[4, 8, 11]		16
Anthurium affine Schott	272224-2	ME	[4]		16
Anthurium andraeanum Linden ex André	84549-1	EU ME PO	[3, 4, 8]		16
Anthurium cordatum (L.) Schott	84691-1	MA	[1]		16
Anthurium crassinervium (Jacq.) Schott	84707-1	ME	[4]		16
Anthurium eminens Schott	84777-1	ME	[4]		16
Anthurium gracile (Rudge) Lindl.	84849-1	ME	[4]		16
Anthurium infectorium R.E.Schult.	15361-2	ME	[4]		16
Anthurium jenmanii Engl.	15369-2	ME	[4]		16
Anthurium nymphaeifolium K.Koch & C.D.Bouché	85127-1	GS	[3]		16
Anthurium oxycarpum Poepp.	272336-2	ME	[4]		16
Anthurium palmatum (L.) Schott	85170-1	ME	[4]		16
Anthurium paraguayense Engl.	15552-2	ME	[4]		16
Anthurium pentaphyllum (Aubl.) G.Don	85201-1	ME	[4]		16
Anthurium scandens (Aubl.) Engl.	85333-1	ME	[4]		16
Anthurium scherzerianum Schott	85334-1	EU ME	[3, 4]		16
Anthurium schlechtendalii Kunth	85335-1	ME	[4]		16
Anthurium uleanum Engl.	15792-2	ME	[4]		16
Anthurium verapazense Engl.	15812-2	ME	[4]		16
Anthurium willdenowii Kunth	85501-1	ME	[4]		16
Anubias afzelii Schott	85518-1	EU	[3]		16
Anubias hastifolia Engl.	85529-1	ME	[4, 11]		16
P.C.Boyce	77105677-1	AF			16
Arisaema album N.E.Br.	85560-1	ME	[4]		16
Arisaema amurense Maxim.	85565-1	ME	[3, 4]		16
Arisaema barnesii C.E.C.Fisch.	85582-1	ME	[4]		16
Arisaema concinnum Schott	85608-1	HF ME	[4]		16
Arisaema consanguineum Schott	85609-1	ME	[4]		16
Arisaema costatum (Wall.) Mart.	85614-1	ME	[4]		16
Arisaema decipiens Schott	85623-1	ME	[4]		16
Arisaema dracontium (L.) Schott	85629-1	ME	[4]		16
Arisaema elephas Buchet	85632-1	ME	[1, 4]		16
Arisaema erubescens (Wall.) Schott	85637-1	ME	[1, 3, 4, 7]		16
Arisaema flavum (Forssk.) Schott	85646-1	EU ME	[4, 8]		16
Arisaema franchetianum Engl.	85649-1	ME	[4]		16
Arisaema heterophyllum Blume	85667-1	ME	[3, 4]		16
Arisaema intermedium Blume	85677-1	ME	[4]		16
Arisaema jacquemontii Blume	85681-1	ME	[4]		16
Arisaema japonicum Blume	85682-1	ME	[4]		16
Arisaema leschenaultii Blume	85697-1	ME	[1, 4]		16
Arisaema murrayi (J.Graham) Hook.	85728-1	ME	[4]		16
Arisaema propinquum Schott	85768-1	ME	[4]		16
Arisaema quinatum (Nutt.) Schott	85777-1	ME	[4]		16
Arisaema ringens (Thunb.) Schott	85782-1	ME	[4]		16
Arisaema serratum (Thunb.) Schott	85796-1	ME	[1, 3, 4]		16
Arisaema speciosum (Wall.) Mart.	85815-1	EU HF ME	[3, 4, 7]		16
Arisaema thunbergii Blume	85839-1	ME	[3, 4]		16
Arisaema tortuosum (Wall.) Schott	85841-1	EU ME	[3, 4]		16
Arisaema triphyllum (L.) Schott	1107169-2	EU ME PO	[1, 3, 4]		16
Arisaema utile Hook.f. ex Schott	85854-1	ME	[4]		16
Arisaema yunnanense Buchet	85870-1	ME	[1, 4]		16
Arisarum vulgare O.Targ.Tozz.	85902-1	AF HF ME	[4, 9]		16
Arum cylindraceum Gasp.	85982-1	ME	[4]		16
Arum italicum Mill.	86047-1	EU MA ME	[1, 3, 4]		16
Arum korolkowii Regel	86049-1	ME	[4]		16
Arum maculatum L.	86067-1	EU MA ME PO	[1, 3, 4]		17
Arum palaestinum Boiss.	86101-1	ME	[4]		17
Arum rupicola Boiss.	86140-1	ME	[4]		17
Asterostigma luschnathianum Schott	86204-1	ME	[4]		17
Caladium bicolor (Aiton) Vent.	30010088-2	EU GS HF ME PO	[3, 4, 5, 7, 8]		17
Caladium humboldtii (Raf.) Schott	86359-1	EU ME PO	[3, 4, 7]		17
Caladium lindenii (André) Madison	40313-2	EU	[7]		17
Caladium picturatum K.Koch & C.D.Bouché	86411-1	ME	[4]		17
Caladium schomburgkii Schott	86446-1	EU GS	[3]		17
Calla palustris L.	86508-1	EU ME PO	[3, 4]		17
Cercestis afzelii Schott	86537-1	MA ME	[4, 8, 11]		17
Cercestis camerunensis (Ntépé-Nyamè) Bogner	943022-1	ME	[4]		17
Cercestis congoensis Engl.	86540-1	ME	[4, 8]		17
Cercestis mirabilis (N.E.Br.) Bogner	943021-1	EU GS HF MA ME SU	[4, 7, 8, 11]		17
Colocasia affinis Schott	86578-1	GS ME	CWR		17
Colocasia esculenta (L.) Schott	1170772-2	AF EU GS HF MA ME PO SU	CWR		17
Colocasia fallax Schott	86589-1	GS	CWR		17
Colocasia mannii Hook.f.	86605-1	GS	CWR		17
Colocasia menglaensis J.T.Yin, H.Li & Z.F.Xu	77061409-1	GS	CWR		17
Colocasia oresbia A.Hay	991536-1	GS	CWR		17
Cryptocoryne × willisii Reitz	77176644-1	ME	[4]		17
Cryptocoryne alba de Wit	77176997-1	ME	[4]		17
Cryptocoryne beckettii Thuill. ex Trim.	86663-1	EU ME	[3, 4]		17
Cryptocoryne bogneri Rataj	86666-1	ME	[4]		17
Cryptocoryne ciliata (Roxb.) Schott	86671-1	EU	[3, 5]		17
Cryptocoryne cordata Griff.	86676-1	ME	[4, 7]		17
Cryptocoryne crispatula Engl.	86678-1	EU ME	[3, 4]		17
Cryptocoryne lingua Becc. ex Engl.	86709-1	EU	[3]		17
Cryptocoryne nevillii Trimen	86716-1	ME	[4]		17
Cryptocoryne parva de Wit	86720-1	ME	[4]		17
Cryptocoryne retrospiralis (Roxb.) Kunth	86725-1	EU ME	[3, 4]		17
Cryptocoryne spiralis (Retz.) Fisch. ex Wydler	86733-1	ME	[1, 4]		17
Cryptocoryne thwaitesii Schott	86737-1	ME	[1, 4]		17
Cryptocoryne undulata Wendt	86741-1	ME	[4]		17
Cryptocoryne walkeri Schott	86749-1	ME	[4]		17
